TradingSymbol,InstrumentKey
011NSETEST,NSE_EQ|DUMMYSAN005
593RJ25,NSE_EQ|IN2920200770
594CG25,NSE_EQ|IN3520200038
594RJ25,NSE_EQ|IN2920210019
595TN25,NSE_EQ|IN3120200057
596PY26,NSE_EQ|IN3820210018
597CG27,NSE_EQ|IN3520200095
597GS2025,NSE_EQ|IN0020030071
599MP26,NSE_EQ|IN2120210025
59TS25,NSE_EQ|IN4520200077
5PAISA,NSE_EQ|INE618L01018
601GS2028,NSE_EQ|IN0020020247
601RJ26,NSE_EQ|IN2920210316
603RJ25,NSE_EQ|IN2920190435
604AS25,NSE_EQ|IN1220200076
604AS26,NSE_EQ|IN1220210158
604GJ26,NSE_EQ|IN1520210130
604KL25,NSE_EQ|IN2020200183
605AS25,NSE_EQ|IN1220200043
605RJ26,NSE_EQ|IN2920210142
607RJ26,NSE_EQ|IN2920210381
609AS26,NSE_EQ|IN1220210091
609KA28,NSE_EQ|IN1920200095
609RJ26,NSE_EQ|IN2920200648
610GS2031,NSE_EQ|IN0020210095
612KA27,NSE_EQ|IN1920200087
613GS2028,NSE_EQ|IN0020030022
613RJ26,NSE_EQ|IN2920210068
617KL27,NSE_EQ|IN2020200233
617TS25,NSE_EQ|IN4520200069
618GJ26,NSE_EQ|IN1520200339
618GJ26A,NSE_EQ|IN1520210171
618GS2024,NSE_EQ|IN0020190396
619AS26,NSE_EQ|IN1220200258
619GS2034,NSE_EQ|IN0020200096
61CG27,NSE_EQ|IN3520200103
61RJ26,NSE_EQ|IN2920210084
61RJ27,NSE_EQ|IN2920200440
621AS26,NSE_EQ|IN1220200274
622GS2035,NSE_EQ|IN0020200245
622KL27,NSE_EQ|IN2020200225
623RJ27,NSE_EQ|IN2920210290
624HR26,NSE_EQ|IN1620200031
624MH26,NSE_EQ|IN2220210214
624MH28,NSE_EQ|IN2220200116
624RJ26,NSE_EQ|IN2920210183
624TS26,NSE_EQ|IN4520200085
625AS26,NSE_EQ|IN1220210026
627RJ26,NSE_EQ|IN2920210241
628GJ27,NSE_EQ|IN1520210098
629HP26,NSE_EQ|IN1720190157
629RJ26,NSE_EQ|IN2920210225
629RJ26A,NSE_EQ|IN2920210407
62RJ26,NSE_EQ|IN2920210464
62RJ27,NSE_EQ|IN2920200267
632KA28,NSE_EQ|IN1920200129
633AS26,NSE_EQ|IN1220210018
633AS26A,NSE_EQ|IN1220210182
633TN30,NSE_EQ|IN3120200222
634RJ27,NSE_EQ|IN2920210340
635AP27,NSE_EQ|IN1020200110
635MH28,NSE_EQ|IN2220200314
636HP28,NSE_EQ|IN1720200030
638MH27,NSE_EQ|IN2220210230
639AP26,NSE_EQ|IN1020200136
639BR27,NSE_EQ|IN1320210017
63MOONS,NSE_EQ|INE111B01023
63PY26,NSE_EQ|IN3820200076
63PY27,NSE_EQ|IN3820210042
641GA30,NSE_EQ|IN1420200082
641TN30,NSE_EQ|IN3120200214
642GA30,NSE_EQ|IN1420200165
642MN30,NSE_EQ|IN2320200040
642PN30,NSE_EQ|IN2820200094
642UP30,NSE_EQ|IN3320200154
643AP30,NSE_EQ|IN1020200458
643AS26,NSE_EQ|IN1220200340
643MH27,NSE_EQ|IN2220210222
643RJ27,NSE_EQ|IN2920210431
643UK30,NSE_EQ|IN3620200029
644GJ29,NSE_EQ|IN1520200081
644GJ29A,NSE_EQ|IN1520200115
644MH28,NSE_EQ|IN2220200124
644UK30,NSE_EQ|IN3620200060
644UP30,NSE_EQ|IN3320200063
645BR27,NSE_EQ|IN1320210025
645GJ30,NSE_EQ|IN1520200131
645GJ30A,NSE_EQ|IN1520200248
645GS2029,NSE_EQ|IN0020190362
645HP29,NSE_EQ|IN1720200071
645MH27,NSE_EQ|IN2220200249
645ML30,NSE_EQ|IN2420200023
645MN30,NSE_EQ|IN2320200057
645RJ27,NSE_EQ|IN2920200614
645RJ27A,NSE_EQ|IN2920210449
645RJ30,NSE_EQ|IN2920200457
646GJ30,NSE_EQ|IN1520200198
646JK30,NSE_EQ|IN4920200065
646RJ30,NSE_EQ|IN2920200317
646RJ30A,NSE_EQ|IN2920200358
646WB30,NSE_EQ|IN3420200070
647GJ30,NSE_EQ|IN1520200040
647KA30,NSE_EQ|IN1920200392
647MH28,NSE_EQ|IN2220200272
648AP27,NSE_EQ|IN1020200193
648AP32,NSE_EQ|IN1020200243
648AS30,NSE_EQ|IN1220200118
648HR40,NSE_EQ|IN1620200072
648KA30,NSE_EQ|IN1920200137
648KA31,NSE_EQ|IN1920200368
648MZ30,NSE_EQ|IN2520200055
648RJ27,NSE_EQ|IN2920210506
649AP33,NSE_EQ|IN1020200250
649GJ29,NSE_EQ|IN1520200222
649KA30,NSE_EQ|IN1920200038
649KA30A,NSE_EQ|IN1920200418
649KA31,NSE_EQ|IN1920200145
649MH31,NSE_EQ|IN2220200132
649MP24,NSE_EQ|IN2120190227
649RJ30,NSE_EQ|IN2920200085
649TN50,NSE_EQ|IN3120200230
649TS50,NSE_EQ|IN4520200127
64AP28,NSE_EQ|IN1020200474
64GJ30,NSE_EQ|IN1520200107
64GJ30A,NSE_EQ|IN1520200180
64KA30,NSE_EQ|IN1920200103
64KA30A,NSE_EQ|IN1920200194
64KA30B,NSE_EQ|IN1920200350
64KA30C,NSE_EQ|IN1920200376
64KA31,NSE_EQ|IN1920200111
64MH30,NSE_EQ|IN2220200298
651HP30,NSE_EQ|IN1720200089
651KA30,NSE_EQ|IN1920200335
651KA30B,NSE_EQ|IN1920200517
651KA30C,NSE_EQ|IN1920200533
651KA31,NSE_EQ|IN1920200046
652KA30,NSE_EQ|IN1920200491
652MH30,NSE_EQ|IN2220200322
652ML30,NSE_EQ|IN2420200015
652MP35,NSE_EQ|IN2120200125
652NL30,NSE_EQ|IN2620200021
652PY30,NSE_EQ|IN3820200043
652TS50,NSE_EQ|IN4520200135
653CG28,NSE_EQ|IN3520210037
653HP29,NSE_EQ|IN1720200097
653KA30,NSE_EQ|IN1920200459
653TN31,NSE_EQ|IN3120200339
654AP30,NSE_EQ|IN1020200201
654AR30,NSE_EQ|IN1120200036
654GA30,NSE_EQ|IN1420200066
654GA30A,NSE_EQ|IN1420200207
654GJ30,NSE_EQ|IN1520200073
654GS2032,NSE_EQ|IN0020210244
654KA30,NSE_EQ|IN1920200475
654MH27,NSE_EQ|IN2220210271
654MH30,NSE_EQ|IN2220200033
654MP35,NSE_EQ|IN2120200133
654RJ30,NSE_EQ|IN2920200150
654RJ30A,NSE_EQ|IN2920200481
654UP30,NSE_EQ|IN3320200147
654WB35,NSE_EQ|IN3420200062
655AP28,NSE_EQ|IN1020200144
655AP33,NSE_EQ|IN1020200433
655AP35,NSE_EQ|IN1020200268
655AS30,NSE_EQ|IN1220200027
655AS30A,NSE_EQ|IN1220200035
655GA30,NSE_EQ|IN1420200173
655GA30A,NSE_EQ|IN1420200199
655KL30,NSE_EQ|IN2020200118
655MH28,NSE_EQ|IN2220200256
655RJ30,NSE_EQ|IN2920200184
655RJ50,NSE_EQ|IN2920200226
655RJ55,NSE_EQ|IN2920200234
655TN30,NSE_EQ|IN3120200149
655TR30,NSE_EQ|IN3220200023
655WB30,NSE_EQ|IN3420200054
656AP31,NSE_EQ|IN1020200235
656AS30,NSE_EQ|IN1220200100
656KA30,NSE_EQ|IN1920200210
656MH30,NSE_EQ|IN2220200280
656MH32,NSE_EQ|IN2220200306
656MN30,NSE_EQ|IN2320200032
656UP30,NSE_EQ|IN3320200196
657AP30,NSE_EQ|IN1020200219
657GA30,NSE_EQ|IN1420200181
657GJ29,NSE_EQ|IN1520200057
657GJ31,NSE_EQ|IN1520200255
657GS2033,NSE_EQ|IN0020160100
657HP30,NSE_EQ|IN1720200113
657HP30A,NSE_EQ|IN1720200121
657MH31,NSE_EQ|IN2220200058
657MP30,NSE_EQ|IN2120200109
657MZ35,NSE_EQ|IN2520200030
657RJ30,NSE_EQ|IN2920200135
657TN31,NSE_EQ|IN3120200347
658AP30,NSE_EQ|IN1020200169
658GA30,NSE_EQ|IN1420200074
658GA30A,NSE_EQ|IN1420200215
658GA31,NSE_EQ|IN1420200231
658GJ27,NSE_EQ|IN1520200347
658JK30,NSE_EQ|IN4920200057
658KA30,NSE_EQ|IN1920200053
658MP35,NSE_EQ|IN2120200117
658RJ30,NSE_EQ|IN2920200119
658UP30,NSE_EQ|IN3320200188
659CG28,NSE_EQ|IN3520210045
659HR30,NSE_EQ|IN1620200122
659RJ30,NSE_EQ|IN2920200168
659RJ30A,NSE_EQ|IN2920200499
659RJ31,NSE_EQ|IN2920200564
659UP30,NSE_EQ|IN3320200162
65AP30,NSE_EQ|IN1020200227
65AP38,NSE_EQ|IN1020200276
65GA30,NSE_EQ|IN1420200090
65GA30A,NSE_EQ|IN1420200108
65GJ30,NSE_EQ|IN1520200206
65GJ30A,NSE_EQ|IN1520200214
65KA30,NSE_EQ|IN1920200152
65KA30A,NSE_EQ|IN1920200434
65KL27,NSE_EQ|IN2020200084
65NL30,NSE_EQ|IN2620200054
65RJ30,NSE_EQ|IN2920200325
65RJ50,NSE_EQ|IN2920200291
65TN30,NSE_EQ|IN3120200255
65UP30,NSE_EQ|IN3320200055
65WB30,NSE_EQ|IN3420200039
660AP39,NSE_EQ|IN1020200292
660AP40,NSE_EQ|IN1020200300
660TS30,NSE_EQ|IN4520200101
661KA30,NSE_EQ|IN1920200319
661KA33,NSE_EQ|IN1920200582
661KA35,NSE_EQ|IN1920200202
661MP35,NSE_EQ|IN2120200141
661MP37,NSE_EQ|IN2120200232
661RJ30,NSE_EQ|IN2920200473
661RJ31,NSE_EQ|IN2920200572
661RJ31A,NSE_EQ|IN2920200598
661TS51,NSE_EQ|IN4520200317
661UP31,NSE_EQ|IN3320200238
661WB36,NSE_EQ|IN3420200211
662AS30,NSE_EQ|IN1220200175
662CG28,NSE_EQ|IN3520210052
662GA31,NSE_EQ|IN1420200256
662GS2051,NSE_EQ|IN0020160092
662HR41,NSE_EQ|IN1620200130
662JH30,NSE_EQ|IN3720200028
662JK30,NSE_EQ|IN4920200040
662KA32,NSE_EQ|IN1920200343
662KA32A,NSE_EQ|IN1920200541
662NL30,NSE_EQ|IN2620200062
662PY28,NSE_EQ|IN3820210034
662RJ30,NSE_EQ|IN2920200507
662RJ41,NSE_EQ|IN2920200606
662TS41,NSE_EQ|IN4520200309
662UK30,NSE_EQ|IN3620200052
662UP30,NSE_EQ|IN3320200212
662UP31,NSE_EQ|IN3320200253
662WB35,NSE_EQ|IN3420200088
663AP37,NSE_EQ|IN1020200540
663GJ29,NSE_EQ|IN1520200149
663HP31,NSE_EQ|IN1720200139
663HP33,NSE_EQ|IN1720200147
663HR28,NSE_EQ|IN1620210121
663KA30,NSE_EQ|IN1920200178
663KA34,NSE_EQ|IN1920200525
663KL30,NSE_EQ|IN2020200092
663MH30,NSE_EQ|IN2220200264
663ML31,NSE_EQ|IN2420200106
663MN31,NSE_EQ|IN2320200073
663PN51,NSE_EQ|IN2820200185
663TN35,NSE_EQ|IN3120200321
663TN55,NSE_EQ|IN3120200206
663UP30,NSE_EQ|IN3320200139
663WB31,NSE_EQ|IN3420200229
663WB41,NSE_EQ|IN3420200195
664AP39,NSE_EQ|IN1020200524
664AS30,NSE_EQ|IN1220200167
664BR25,NSE_EQ|IN1320200158
664GS2035,NSE_EQ|IN0020210020
664JK36,NSE_EQ|IN4920200131
664KA32,NSE_EQ|IN1920200160
664MP30,NSE_EQ|IN2120200091
664MZ32,NSE_EQ|IN2520200089
664PY32,NSE_EQ|IN3820200050
664RJ30,NSE_EQ|IN2920200341
664SK31,NSE_EQ|IN3020200041
664TS50,NSE_EQ|IN4520200119
664TS51,NSE_EQ|IN4520200283
664UP30,NSE_EQ|IN3320200089
664UP31,NSE_EQ|IN3320200261
665AP36,NSE_EQ|IN1020200508
665AP40,NSE_EQ|IN1020200516
665AP41,NSE_EQ|IN1020200532
665GJ30,NSE_EQ|IN1520200123
665JK30,NSE_EQ|IN4920200123
665KA30,NSE_EQ|IN1920200236
665KA35,NSE_EQ|IN1920200509
665ML30,NSE_EQ|IN2420200056
665PN50,NSE_EQ|IN2820200086
665PN50A,NSE_EQ|IN2820200177
665TR35,NSE_EQ|IN3220200049
665TS40,NSE_EQ|IN4520200275
665WB28,NSE_EQ|IN3420210020
665WB30,NSE_EQ|IN3420200047
666JH34,NSE_EQ|IN3720200044
666KA32,NSE_EQ|IN1920200442
666TN29,NSE_EQ|IN3120210254
666TN30,NSE_EQ|IN3120200289
667GS2035,NSE_EQ|IN0020210152
667GS2050,NSE_EQ|IN0020200252
667MH31,NSE_EQ|IN2220200157
667MH32,NSE_EQ|IN2220200330
667RJ30,NSE_EQ|IN2920200374
667RJ50,NSE_EQ|IN2920200192
667TN50,NSE_EQ|IN3120200263
667TS50,NSE_EQ|IN4520200259
667UK30,NSE_EQ|IN3620200037
667UP30,NSE_EQ|IN3320200071
668AP24,NSE_EQ|IN1020200045
668AP33,NSE_EQ|IN1020200482
668AP35,NSE_EQ|IN1020200334
668AP35A,NSE_EQ|IN1020200490
668AP39,NSE_EQ|IN1020200342
668GA30,NSE_EQ|IN1420200116
668GS2031,NSE_EQ|IN0020170042
668HR39,NSE_EQ|IN1620200080
668JH32,NSE_EQ|IN3720200036
668KA36,NSE_EQ|IN1920200483
668MZ31,NSE_EQ|IN2520200071
668TN55,NSE_EQ|IN3120200180
668UP30,NSE_EQ|IN3320200097
668WB30,NSE_EQ|IN3420200096
668WB35,NSE_EQ|IN3420200179
669GS2024,NSE_EQ|IN0020220052
669KA37,NSE_EQ|IN1920200467
669MP25,NSE_EQ|IN2120200273
669MP30,NSE_EQ|IN2120200075
669PN30,NSE_EQ|IN2820200128
669TN30,NSE_EQ|IN3120200297
669TN50,NSE_EQ|IN3120200131
669TS40,NSE_EQ|IN4520200267
669TS50,NSE_EQ|IN4520200143
669UP30,NSE_EQ|IN3320200048
66AS30,NSE_EQ|IN1220200142
66AS30A,NSE_EQ|IN1220200183
66GA30,NSE_EQ|IN1420200058
66GA30A,NSE_EQ|IN1420200124
66GJ29,NSE_EQ|IN1520200032
66HP30,NSE_EQ|IN1720200105
66KA37,NSE_EQ|IN1920200574
66MH31,NSE_EQ|IN2220200074
66ML30,NSE_EQ|IN2420200072
66ML30A,NSE_EQ|IN2420200080
66MN30,NSE_EQ|IN2320200065
66MZ30,NSE_EQ|IN2520200022
66PN30,NSE_EQ|IN2820200151
66RJ30,NSE_EQ|IN2920200366
66RJ30A,NSE_EQ|IN2920200432
66RJ30B,NSE_EQ|IN2920200515
66RJ30C,NSE_EQ|IN2920200549
66SK30,NSE_EQ|IN3020200033
66TN29,NSE_EQ|IN3120200156
66TN30,NSE_EQ|IN3120200115
66UK31,NSE_EQ|IN3620200078
66UP30,NSE_EQ|IN3320200170
66UP30A,NSE_EQ|IN3320200204
66UP31,NSE_EQ|IN3320200220
66WB30,NSE_EQ|IN3420200187
670AP26,NSE_EQ|IN1020200078
670OR24,NSE_EQ|IN2720200020
670RJ50,NSE_EQ|IN2920200176
670TN50,NSE_EQ|IN3120200164
671RJ30,NSE_EQ|IN2920200044
671TN29,NSE_EQ|IN3120210239
671TS40,NSE_EQ|IN4520200242
671TS50,NSE_EQ|IN4520200150
671WB40,NSE_EQ|IN3420200161
672AP28,NSE_EQ|IN1020200128
672GA30,NSE_EQ|IN1420200033
672GJ30,NSE_EQ|IN1520210015
672HR35,NSE_EQ|IN1620200114
672KA33,NSE_EQ|IN1920200426
672KL27,NSE_EQ|IN2020200290
672PN30,NSE_EQ|IN2820200060
672RJ30,NSE_EQ|IN2920200382
672TN27,NSE_EQ|IN3120200305
672TS26,NSE_EQ|IN4520200036
673KL28,NSE_EQ|IN2020200134
673MP30,NSE_EQ|IN2120200083
673PN40,NSE_EQ|IN2820200169
673SK30,NSE_EQ|IN3020200025
673TN30,NSE_EQ|IN3120200065
673TN40,NSE_EQ|IN3120200313
673TS50,NSE_EQ|IN4520200226
674GA30,NSE_EQ|IN1420200132
674PN24,NSE_EQ|IN2820190154
674TN50,NSE_EQ|IN3120200123
674TS50,NSE_EQ|IN4520200234
674UP30,NSE_EQ|IN3320200105
675BR27,NSE_EQ|IN1320210033
675GJ29,NSE_EQ|IN1520210122
675GJ31,NSE_EQ|IN1520210023
675KA33,NSE_EQ|IN1920200244
675KA33A,NSE_EQ|IN1920200327
675KA34,NSE_EQ|IN1920200400
675KA35,NSE_EQ|IN1920200384
675RJ30,NSE_EQ|IN2920200465
675RJ31,NSE_EQ|IN2920210027
676GS2061,NSE_EQ|IN0020200401
676MP33,NSE_EQ|IN2120200166
676MP40,NSE_EQ|IN2120200208
676PN24,NSE_EQ|IN2820200029
676PN40,NSE_EQ|IN2820200136
676RJ31,NSE_EQ|IN2920210092
676TN31,NSE_EQ|IN3120210197
677AP38,NSE_EQ|IN1020200441
677AP40,NSE_EQ|IN1020200318
677BR28,NSE_EQ|IN1320210058
677KA33,NSE_EQ|IN1920200186
677KA34,NSE_EQ|IN1920200228
677RJ31,NSE_EQ|IN2920210076
677RJ31A,NSE_EQ|IN2920210274
677TN24,NSE_EQ|IN3120190167
677TN31,NSE_EQ|IN3120210015
677WB40,NSE_EQ|IN3420200104
678AP38,NSE_EQ|IN1020210010
678AP39,NSE_EQ|IN1020210028
678GA31,NSE_EQ|IN1420210016
678JK33,NSE_EQ|IN4920210015
678KA32,NSE_EQ|IN1920200269
678KL31,NSE_EQ|IN2020210018
678MH31,NSE_EQ|IN2220210073
678MH32,NSE_EQ|IN2220200199
678MN31,NSE_EQ|IN2320210015
678RJ30,NSE_EQ|IN2920200051
678RJ31,NSE_EQ|IN2920210035
678RJ31A,NSE_EQ|IN2920210050
678SK31,NSE_EQ|IN3020210016
678TS50,NSE_EQ|IN4520200192
678WB35,NSE_EQ|IN3420200153
679AP34,NSE_EQ|IN1020200466
679GS2027,NSE_EQ|IN0020170026
679GS2029,NSE_EQ|IN0020160118
679HR31,NSE_EQ|IN1620210022
679JK30,NSE_EQ|IN4920200032
679MP33,NSE_EQ|IN2120200158
679MP40,NSE_EQ|IN2120200216
679PN35,NSE_EQ|IN2820200144
679WB28,NSE_EQ|IN3420210046
679WB28A,NSE_EQ|IN3420210095
67AS27,NSE_EQ|IN1220200290
67GJ30,NSE_EQ|IN1520200156
67HR30,NSE_EQ|IN1620200098
67JK30,NSE_EQ|IN4920200073
67JK32,NSE_EQ|IN4920200115
67KA30,NSE_EQ|IN1920200251
67KL27,NSE_EQ|IN2020200050
67MH28,NSE_EQ|IN2220200181
67ML30,NSE_EQ|IN2420200031
67NL30,NSE_EQ|IN2620200039
67PN30,NSE_EQ|IN2820200078
67PN40,NSE_EQ|IN2820200102
67TR30,NSE_EQ|IN3220200015
681KL31,NSE_EQ|IN2020210042
681MH28,NSE_EQ|IN2220200215
681MH31,NSE_EQ|IN2220210099
681PN31,NSE_EQ|IN2820210010
681TR35,NSE_EQ|IN3220200031
682BR28,NSE_EQ|IN1320210041
682CG28,NSE_EQ|IN3520210029
682JH34,NSE_EQ|IN3720200085
682KL32,NSE_EQ|IN2020200316
682KL35,NSE_EQ|IN2020200324
682MH32,NSE_EQ|IN2220210016
682ML31,NSE_EQ|IN2420210014
682PN36,NSE_EQ|IN2820200243
682RJ31,NSE_EQ|IN2920210043
683BR30,NSE_EQ|IN1320210116
683GA31,NSE_EQ|IN1420210115
683GJ30,NSE_EQ|IN1520200164
683GS2039,NSE_EQ|IN0020080050
683KA31,NSE_EQ|IN1920210128
683KA31A,NSE_EQ|IN1920210136
683KA31B,NSE_EQ|IN1920210151
683MH31,NSE_EQ|IN2220210131
683MH32,NSE_EQ|IN2220210057
683MH32A,NSE_EQ|IN2220210081
683MH32B,NSE_EQ|IN2220210123
683TN31,NSE_EQ|IN3120210098
683TN31A,NSE_EQ|IN3120210262
683WB28,NSE_EQ|IN3420210053
683WB31,NSE_EQ|IN3420200294
683WB31A,NSE_EQ|IN3420210012
684AR31,NSE_EQ|IN1120210019
684BR30,NSE_EQ|IN1320210124
684GA31,NSE_EQ|IN1420200306
684GJ30,NSE_EQ|IN1520200172
684GJ31,NSE_EQ|IN1520200305
684GJ31A,NSE_EQ|IN1520210106
684HR32,NSE_EQ|IN1620210030
684JK31,NSE_EQ|IN4920200164
684KL30,NSE_EQ|IN2020190228
684KL33,NSE_EQ|IN2020210026
684MH32,NSE_EQ|IN2220210032
